Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Brahmi / water hyssop,Bacopa monnieri,265,188,303,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/263974/
Brihati,Solanum indicum Linn.,779,108,783,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/227722/
Broom,Cytisus scoparius,114,93,"1,047",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3835/
Bryophyllum / Panfuti,Kalanchoe pinnata,47,35,48,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/80913/
Calabash,Lagenaria siceraria,"3,177",587,"3,479",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3668/
Cress,Lepidium sativum,392,183,440,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/33125/
Calendula / Marigold,Calendula officinalis,493,147,"5,895",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41496/
California poppy,Eschscholzia californica,326,277,366,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3467/
Camphor,Cinnamomum camphora,"1,256",443,"22,919",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13429/
Canada thistle,Cirsium arvense,467,196,732,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41550/
Cardamom / Dalchini,Elettaria cardamomum,44,40,297,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/105181/
Carrot,Daucus carota,"1,21,830","82,802","2,13,590",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4039/
Celery,Apium graveolens,"2,786","2,010","72,182",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4045/
Chamomile,Matricaria chamomilla,620,242,665,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/98504/
Chickweed,Stellaria media,119,86,209,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13274/
Chicory,Cichorium intybus,"44,352","41,682","1,07,683",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13427/
Chinese chastetree / Huang ping / Five-leaved Chaste Tree / Nirgundi,Vitex negundo,730,250,796,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/361442/
Chirata / Kiratatikta,Swertia chirayita,46,26,74,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/137887/
Chitrak / Ceylon leadwort,Plumbago zeylanica,241,137,241,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/76149/
