Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Persimmon,Diospyros kaki,"1,142",752,"19,591",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/35925/
Peruk,Centella asiatica,422,202,"4,809",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/48106/
Pineapple,Ananas comosus,"88,559","77,326","1,17,443",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4615/
Pisa / Tudambo / Oriya / Galavaara / Tali,Actinodaphne hookeri,0,0,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1941424/
Pokeweed / American Pokeweed,Phytolacca americana,987,246,"1,077",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3527/
Pomegranate,Punica granatum,"1,26,016","91,649","1,68,666",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/22663/
Pungphai / Egyptian crowfoot grass / Duck grass,Dactyloctenium aegyptium,250,127,298,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/270102/
Poppy / Opium poppy,Papaver somniferum,"1,36,455","1,03,570","1,42,694",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3469/
Primrose oil,Oenothera biennis,"1,675",216,"2,155",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3942/
Pumpkin,Cucurbita pepo,"44,038","35,588","1,46,399",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3663/
Puncture vine,Tribulus terrestris,398,217,"38,371",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/210369/
Pyaj / Onion,Allium cepa,"2,054",612,"3,00,733",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4679/
Quina / Chard,Chenopodium quinoa,"64,875","55,473","72,728",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63459/
Radish,Raphanus sativus,"1,19,910","78,575","3,31,439",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3726/
Raktachandana,Pterocarpus santalinus,400,124,405,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1071199/
Ramtulsi,Ocimum gratissimum,334,183,420,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/204144/
Ratti / Rosary Pea,Abrus precatorius,"40,309","34,980","40,359",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3816/
Red clover,Trifolium pratense,"1,64,713","1,40,115","3,13,167",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/57577/
Reed / Giant reed,Arundo donax,"2,84,468","2,62,528","2,84,582",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/35708/
Rooibos,Aspalathus linearis,7,7,"6,748",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/155124/
Roselle,Hibiscus sabdariffa,"3,20,900","1,11,237","3,21,064",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/183260/
Rosemary,Salvia rosmarinus,686,246,706,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39367/
Rui,Calotropis gigantea,220,118,234,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4066/
Rye,Secale cereale,"1,869","1,022","56,637",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4550/
Safflower,Carthamus tinctorius,"1,255",390,"6,327",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4222/
Sagargota / Bonduc nut / Yellow nicker,Guilandina bonduc,302,121,302,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/191881/
Sage / Garden sage,Salvia officinalis,"1,595",277,"1,662",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/38868/
Salai Guggal / Indian Olibanum / Indian frankincense,Boswellia serrata,10,10,49,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/613112/
Salpani / Shalparni / Shal Leafed Bush,Pleurolobus gangeticus,36,30,"4,028",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/670324/
Sankarjata,Uraria picta,3,3,7,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1034059/
Sarpagandha / Serpentwood,Rauvolfia serpentina,353,164,535,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4060/
Sassafras,Sassafras albidum,991,217,"1,016",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/46945/
Saton / Chitvan / Dita / Milky pine,Alstonia scholaris,340,169,368,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/52822/
Senna,Senna alexandrina,209,111,"4,402",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72402/
Shatavari,Asparagus racemosus,201,107,211,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/272846/
Shepherd's purse,Capsella bursa-pastoris,"4,312",535,"21,278",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3719/
Shirish / Siris Tree,Albizia lebbeck,25,25,83,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/371650/
Siberian Ginseng,Eleutherococcus senticosus,647,224,782,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/82096/
Sitaphal / Custard Apple,Annona reticulata,368,125,403,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/301862/
Skullcap,Scutellaria lateriflora,301,126,302,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/233893/
Sorrel,Rumex acetosa,416,223,567,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41241/
Spinach,Spinacia oleracea,"67,348","47,436","1,05,601",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3562/
Spreading Hogweed / Punarnava,Boerhavia diffusa,201,108,291,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/930814/
Stavesacre,Staphisagria macrosperma,174,85,174,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/104301/
Stevia,Stevia rebaudiana,674,269,"1,076",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/55670/
Summer savory,Satureja hortensis,7,6,15,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49987/
Supari / Areca Nut / Betelnut,Areca catechu,285,169,"5,523",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/184783/
Sweet flag / Flagroot / Bach / Vaikhand,Acorus calamus,"46,624","45,611","49,930",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4465/
Sweet potato,Ipomoea batatas,"1,78,543","1,51,332","3,08,778",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4120/
Sweet wormwood,Artemisia annua,"68,114","66,593","68,196",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/35608/
Tamalpatra / Cinnamon Leaf / Tejpatta,Cinnamomum tamala,434,164,436,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/397098/
Tangerine / Mandarin orange,Citrus reticulata,"1,047",396,"1,31,707",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/85571/
Tarragon,Artemisia dracunculus,"1,033",173,"1,044",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72341/
Tea plant / Black tea,Camellia sinensis,"3,74,334","3,08,726","4,95,559",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4442/
Tea tree oil,Melaleuca alternifolia,127,121,140,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/164405/
Thyme / Garden thyme,Thymus vulgaris,268,153,297,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49992/
Tinda,Benincasa fistulosa,18,18,35,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/252558/
Tinshibi / Fever nut / Kuberakshi / Yellow nicker,Guilandina bonduc,302,121,302,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/191881/
Tomato,Solanum lycopersicum,"55,544","38,422","10,64,626",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4081/
Tongkat ali,Eurycoma longifolia,113,98,112,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/458531/
Trayamana,Gentiana kurroo,12,9,12,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1523243/
Tulsi / Holy basil,Ocimum tenuiflorum,582,234,596,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/204149/
Utangan / Vellurana,Blepharis edulis,3,3,3,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/328124/
Vai vidang,Embelia ribes,106,98,107,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/459629/
Vajradanti,Barleria prionitis,195,100,200,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4189/
Valerian / Common valerian / Garden heliotrope,Valeriana officinalis,417,191,443,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/19953/
Varun / Three Leafed Caper,Crataeva nurvala,0,0,548,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1149812/
Vatsnabh / Meetha Vish / Monks hood,Aconitum ferox,10,8,10,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/50866/
Vrishchikali / Spreading hogweed-erect,Boerhavia Erecta,7,6,50,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/363203/
Wheatgrass / Bread wheat / Canadian hard winter wheat / common wheat / wheat,Triticum aestivum,"4,82,029","2,63,583","32,60,869",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4565/
White turmeric,Curcuma zedoaria,253,141,253,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/136224/
Wild turmeric,Curcuma aromatica,391,175,"5,662",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/136209/
Wild yam,Dioscorea villosa,218,113,218,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/330167/
Windflower,Anemone nemorosa,246,112,260,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/37489/
Winter savory,Satureja montana,274,95,279,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49988/
Yarrow,Achillea millefolium,836,250,"1,406",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13329/
Yellow groundsel / Italian starwort,Aster amellus,610,19,616,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/72897/
Yenam / Maroi nakuppi,Allium hookeri,447,180,533,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/105303/
Yerba santa,Eriodictyon californicum,15,14,15,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4132/
